order,wave,xpix,weights
7.0,9657.7863,1849.3474103276587,165.30624697178385
7.0,9664.6983,1797.7353654372564,16.60701368482735
7.0,9700.5631,1528.9471616628705,32.52243892543429
7.0,9746.4629,1176.7355629859253,58.79384720942495
7.0,9784.5028,877.8242837243788,229.26284746809552
7.0,9812.6976,652.0033248246888,23.10890115333304
7.0,9826.4497,540.5128181876486,33.09571116031663
7.0,9833.4232,483.48319293556193,49.3416736476089
8.0,9561.2452,1334.0978549067847,16.21286693679115
8.0,9629.5693,789.4634408591298,24.871754346922973
8.0,9632.6439,764.4756693726238,30.84080341154855
8.0,9664.6983,500.708566750856,25.20202128426653
8.0,9700.5631,199.47477837146238,31.50306723579705
9.0,9383.2722,1481.6426057775607,17.37989549970133
9.0,9399.0891,1356.644934746393,59.68620006817635
9.0,9431.5996,1096.2757720497173,25.28374539599669
9.0,9461.0279,856.0495312404864,36.864279665106345
9.0,9467.1954,805.3934045547313,15.83079498801538
9.0,9470.6819,776.3295949285697,36.22472403893779
9.0,9474.8793,741.5036364034337,47.64972505695205
9.0,9505.393,486.0864731993383,14.406009348687027
10.0,9194.6385,1757.1595252165616,58.994936327291526
10.0,9203.9617,1683.9452313949082,46.27684386753191
10.0,9276.2732,1102.1584154568582,34.52633451953961
10.0,9289.5624,992.3932863767619,30.277586023127427
10.0,9291.5313,976.0919354094647,73.16118567330213
10.0,9383.2722,193.0601601734789,17.44405127221335
10.0,9399.0891,53.57638423153902,28.648776670841986
11.0,9048.2501,1742.0610721171067,37.9589318123775
11.0,9094.8289,1365.00930723558,24.64442872687148
11.0,9194.6385,822.4135339538768,8.081539112695618
11.0,9203.9617,440.57250973639884,62.92526698222368
12.0,8955.8467,1320.8692661138307,16.534485096933388
12.0,8962.1468,1268.0121978510722,18.683067632614094
12.0,8967.0031,1221.9779253890558,53.40650384482543
12.0,9008.4636,874.1222486377875,19.939450616577712
12.0,9016.5903,803.973967840905,17.0260409431211
12.0,9017.5912,795.0055408053302,21.723973708939553
12.0,9048.2501,526.106017940758,61.54558326525215
12.0,9063.96,386.172199273038,16.28963742846058
12.0,9072.2785,302.22293044864625,20.942629321771253
12.0,9075.3945,283.5299415404213,25.187288338479267
13.0,8758.2434,1801.829946345877,14.728639439066635
13.0,8761.6862,1773.558049933356,32.960902904239354
13.0,8771.8602,1689.7981601280846,19.834340965401932
13.0,8775.5733,1659.0990431339749,14.335775654087467
13.0,8799.0875,1462.9592142718411,29.547364183863863
13.0,8868.8334,864.2287547948357,30.412574805250678
13.0,8892.9865,650.5671773903124,26.84048657951922
13.0,8905.6581,537.2024153464323,17.1969353264942
14.0,8620.4602,1827.1943592133814,22.916772854613317
14.0,8665.4855,1448.0971542567936,25.228433336950022
14.0,8678.4083,1337.1481517620682,28.402018126140238
14.0,8709.2341,1069.1737202865224,32.56066115039121
14.0,8732.424,864.1636573291629,13.382990321063414
14.0,8748.0309,724.2073363314548,45.64465854643033
14.0,8758.2434,631.8958100567679,34.498704931815226
14.0,8761.6862,600.6182599119005,60.56922185227974
14.0,8766.745,554.7612214655118,13.398983991706649
14.0,8771.8602,507.87101175772005,30.483940138520218
14.0,8775.5733,473.88958671372575,20.621855370587124
14.0,8799.0875,256.54318565130825,26.026270711836553
15.0,8539.793,1399.42061635534,15.749557727015796
15.0,8554.944,1267.153691754022,25.776271660569677
15.0,8573.1205,1106.2580343607503,41.285977622853544
15.0,8605.7762,812.7866920989418,73.11996594445304
15.0,8620.4602,678.7074021613029,55.5188355788578
15.0,8639.4416,503.2358899484565,14.050912954556894
15.0,8665.4855,259.2257019747876,23.384663843377822
15.0,8678.4083,136.45191278054122,19.30934074705816
16.0,8384.724,1641.3174279495304,21.479720370518294
16.0,8416.7269,1360.6793267236144,88.0692183246338
16.0,8417.9982,1349.6069720535836,19.779501957813235
16.0,8421.2254,1320.7945963783598,50.14824347269939
16.0,8445.487,1103.5946334366631,34.6842826015041
16.0,8446.5116,1094.3217435413208,49.89376474277874
16.0,8478.3134,803.2632992243907,60.74842939525439
16.0,8490.3065,692.7119639632698,23.260130759683854
16.0,8523.783000000001,399.8545496175206,514.7420885866787
17.0,8252.3936,1720.7018905866864,29.578200490499658
17.0,8275.6266,1515.6246531856573,22.062389277051963
17.0,8320.8554,1107.606937422895,46.878439324435924
17.0,8330.4494,1019.3709830290268,81.88857470477137
17.0,8416.7269,199.8285800916599,66.24377265363162
17.0,8417.9982,187.30945050537358,14.561044297322676
17.0,8421.2254,155.7681239793616,34.29491583682735
18.0,8115.311,1875.7342421265719,256.7210863506913
18.0,8138.4753,1670.3871838183813,18.963875562030857
18.0,8143.138000000001,1628.5736901109344,32.62938200509577
18.0,8159.7277,1479.3180491833118,32.045586006058514
18.0,8169.7865,1387.4989825478058,25.47671414246157
18.0,8186.9113,1231.2494168516434,54.3355616705851
18.0,8252.3936,614.272973189341,55.17427913610201
18.0,8275.6266,388.44624514509104,23.40980632837619
19.0,8006.1567,1814.809160650565,271.0197664327235
19.0,8014.7857,1737.3756347207136,506.97434308228503
19.0,8046.1169,1452.312659010451,29.008037786191363
19.0,8053.3085,1386.0004498315252,53.206245737072784
19.0,8085.219,1088.004984786618,17.78079366325025
19.0,8143.138000000001,529.5918839632468,47.48428904718525
19.0,8159.7277,365.44041898432715,31.430666297738682
19.0,8186.9113,92.26300862630433,30.417781848604747
20.0,7916.441999999999,1603.8832558604086,15.11482516294704
20.0,7937.7335,1406.0912844020181,17.196818628942854
20.0,7941.7259,1369.1376978889693,19.726650793760946
20.0,7972.596,1076.0261014574949,29.44559092355007
20.0,7978.9731,1014.7390917096867,117.10071428566832
20.0,8032.4313,489.968087746468,35.223072748739355
20.0,8046.1169,352.2724978147149,27.695954391182518
20.0,8053.3085,279.40777504720364,43.09853046810358
21.0,7788.9342,1767.351425764295,19.843259369054632
21.0,7798.3579,1679.4038305659753,18.86712938103332
21.0,7817.7669,1498.2655009064329,38.52668300746403
21.0,7861.91,1075.6685600698258,27.65595046617045
21.0,7865.9698,1036.1648799340599,24.939558371183647
21.0,7886.283,836.5670388207857,29.944469195536218
21.0,7916.441999999999,534.8502579928677,20.41247378152251
22.0,7678.1267,1805.8718026144975,10.160907669680043
22.0,7685.3075,1738.5914217745885,8.943684268776103
22.0,7728.951,1322.4489754804656,18.534562787185774
